0,1,2,3,4,5
0.202,0,0,0,2,2
0.202,0,0,0,2,2
-0.303,0,0,0,1,1
-0.303,0,0,0,1,1
0.201,0,0,0,2,2
0.201,0,0,0,2,2
-0.304,0,0,0,1,1
-0.304,0,0,0,1,1
0.199,0,0,0,2,2
0.199,0,0,0,2,2
-0.305,0,0,0,1,1
-0.305,0,0,0,1,1
0.198,0,0,0,2,2
0.198,0,0,0,2,2
-0.307,0,0,0,1,1
-0.307,0,0,0,1,1
0.197,0,0,0,2,2
0.197,0,0,0,2,2
-0.308,0,0,0,1,1
-0.308,0,0,0,1,1
0.199,0,0,0,2,2
0.195,0,0,0,2,2
-0.31,0,0,0,1,1
-0.31,0,0,0,1,1
0.194,0,0,0,2,2
0.194,0,0,0,2,2
0.199,0,0,0,1,1
-0.311,0,0,0,1,1
0.199,0,0,0,2,2
0.192,0,0,0,2,2
-0.313,0,0,0,1,1
-0.313,0,0,0,1,1
0.199,0,0,0,2,2
0.191,0,0,0,2,2
-0.315,0,0,0,1,1
-0.315,0,0,0,1,1
0.189,0,0,0,2,2
0.189,0,0,0,2,2
-0.317,0,0,0,1,1
-0.317,0,0,0,1,1
0.187,0,0,0,2,2
0.187,0,0,0,2,2
-0.319,0,0,0,1,1
-0.319,0,0,0,1,1
0.185,0,0,0,2,2
0.185,0,0,0,2,2
-0.321,0,0,0,1,1
-0.321,0,0,0,1,1
0.183,0,0,0,2,2
0.183,0,0,0,2,2
-0.323,0,0,0,1,1
-0.323,0,0,0,1,1
0.181,0,0,0,2,2
0.181,0,0,0,2,2
0.199,0,0,0,1,1
-0.325,0,0,0,1,1
0.179,0,0,0,2,2
0.179,0,0,0,2,2
-0.328,0,0,0,1,1
-0.328,0,0,0,1,1
0.176,0,0,0,2,2
0.176,0,0,0,2,2
-0.331,0,0,0,1,1
-0.331,0,0,0,1,1
0.173,0,0,0,2,2
0.173,0,0,0,2,2
-0.334,0,0,0,1,1
-0.334,0,0,0,1,1
0.171,0,0,0,2,2
0.171,0,0,0,2,2
-0.337,0,0,0,1,1
-0.337,0,0,0,1,1
0.167,0,0,0,2,2
0.167,0,0,0,2,2
-0.34,0,0,0,1,1
-0.34,0,0,0,1,1
0.164,0,0,0,2,2
0.164,0,0,0,2,2
-0.344,0,0,0,1,1
-0.344,0,0,0,1,1
0.199,0,0,0,2,2
0.16,0,0,0,2,2
-0.348,0,0,0,1,1
-0.348,0,0,0,1,1
0.157,0,0,0,2,2
0.157,0,0,0,2,2
-0.352,0,0,0,1,1
-0.352,0,0,0,1,1
0.152,0,0,0,2,2
0.152,0,0,0,2,2
-0.357,0,0,0,1,1
-0.357,0,0,0,1,1
0.148,0,0,0,2,2
0.148,0,0,0,2,2
-0.362,0,0,0,1,1
-0.362,0,0,0,1,1
0.199,0,0,0,2,2
0.142,0,0,0,2,2
0.199,0,0,0,1,1
-0.368,0,0,0,1,1
0.137,0,0,0,2,2
0.137,0,0,0,2,2
-0.374,0,0,0,1,1
-0.374,0,0,0,1,1
0.131,0,0,0,2,2
0.131,0,0,0,2,2
-0.381,0,0,0,1,1
-0.381,0,0,0,1,1
0.124,0,0,0,2,2
0.124,0,0,0,2,2
0.199,0,0,0,1,1
-0.389,0,0,0,1,1
0.116,0,0,0,2,2
0.116,0,0,0,2,2
-0.398,0,0,0,1,1
-0.398,0,0,0,1,1
0.107,0,0,0,2,2
0.107,0,0,0,2,2
-0.407,0,0,0,1,1
-0.407,0,0,0,1,1
0.097,0,0,0,2,2
0.097,0,0,0,2,2
-0.418,0,0,0,1,1
-0.418,0,0,0,1,1
0.086,0,0,0,2,2
0.086,0,0,0,2,2
-0.43,0,0,0,1,1
-0.43,0,0,0,1,1
0.074,0,0,0,2,2
0.074,0,0,0,2,2
-0.444,0,0,0,1,1
-0.444,0,0,0,1,1
0.059,0,0,0,2,2
0.059,0,0,0,2,2
-0.46,0,0,0,1,1
-0.46,0,0,0,1,1
0.042,0,0,0,2,2
0.042,0,0,0,2,2
0.199,0,0,0,1,1
-0.479,0,0,0,1,1
0.023,0,0,0,2,2
0.023,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.199,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
