0,1,2,3,4,5
0.313,0,0,0,2,2
0.313,0,0,0,2,2
-0.191,0,0,0,1,1
-0.191,0,0,0,1,1
0.315,0,0,0,2,2
0.315,0,0,0,2,2
-0.189,0,0,0,1,1
-0.189,0,0,0,1,1
0.317,0,0,0,2,2
0.317,0,0,0,2,2
-0.187,0,0,0,1,1
-0.187,0,0,0,1,1
0.319,0,0,0,2,2
0.319,0,0,0,2,2
-0.185,0,0,0,1,1
-0.185,0,0,0,1,1
0.321,0,0,0,2,2
0.321,0,0,0,2,2
0.317,0,0,0,1,1
-0.183,0,0,0,1,1
0.317,0,0,0,2,2
0.323,0,0,0,2,2
-0.181,0,0,0,1,1
-0.181,0,0,0,1,1
0.325,0,0,0,2,2
0.325,0,0,0,2,2
-0.179,0,0,0,1,1
-0.179,0,0,0,1,1
0.328,0,0,0,2,2
0.328,0,0,0,2,2
-0.176,0,0,0,1,1
-0.176,0,0,0,1,1
0.331,0,0,0,2,2
0.331,0,0,0,2,2
0.317,0,0,0,1,1
-0.173,0,0,0,1,1
0.317,0,0,0,2,2
0.334,0,0,0,2,2
-0.171,0,0,0,1,1
-0.171,0,0,0,1,1
0.337,0,0,0,2,2
0.337,0,0,0,2,2
-0.167,0,0,0,1,1
-0.167,0,0,0,1,1
0.317,0,0,0,2,2
0.34,0,0,0,2,2
-0.164,0,0,0,1,1
-0.164,0,0,0,1,1
0.344,0,0,0,2,2
0.344,0,0,0,2,2
-0.16,0,0,0,1,1
-0.16,0,0,0,1,1
0.348,0,0,0,2,2
0.348,0,0,0,2,2
-0.157,0,0,0,1,1
-0.157,0,0,0,1,1
0.352,0,0,0,2,2
0.352,0,0,0,2,2
-0.152,0,0,0,1,1
-0.152,0,0,0,1,1
0.357,0,0,0,2,2
0.357,0,0,0,2,2
0.317,0,0,0,1,1
-0.148,0,0,0,1,1
0.362,0,0,0,2,2
0.362,0,0,0,2,2
-0.142,0,0,0,1,1
-0.142,0,0,0,1,1
0.368,0,0,0,2,2
0.368,0,0,0,2,2
-0.137,0,0,0,1,1
-0.137,0,0,0,1,1
0.374,0,0,0,2,2
