0,1,2,3,4,5
0.138,0,0,0,2,2
0.138,0,0,0,2,2
-0.373,0,0,0,1,1
-0.373,0,0,0,1,1
0.132,0,0,0,2,2
0.132,0,0,0,2,2
-0.379,0,0,0,1,1
-0.379,0,0,0,1,1
0.126,0,0,0,2,2
0.126,0,0,0,2,2
-0.386,0,0,0,1,1
-0.386,0,0,0,1,1
0.119,0,0,0,2,2
0.119,0,0,0,2,2
-0.393,0,0,0,1,1
-0.393,0,0,0,1,1
0.111,0,0,0,2,2
0.111,0,0,0,2,2
-0.402,0,0,0,1,1
-0.402,0,0,0,1,1
0.102,0,0,0,2,2
0.102,0,0,0,2,2
-0.411,0,0,0,1,1
-0.411,0,0,0,1,1
0.093,0,0,0,2,2
0.093,0,0,0,2,2
-0.422,0,0,0,1,1
-0.422,0,0,0,1,1
0.082,0,0,0,2,2
0.082,0,0,0,2,2
-0.434,0,0,0,1,1
-0.434,0,0,0,1,1
0.07,0,0,0,2,2
0.07,0,0,0,2,2
-0.447,0,0,0,1,1
-0.447,0,0,0,1,1
0.056,0,0,0,2,2
0.056,0,0,0,2,2
-0.463,0,0,0,1,1
-0.463,0,0,0,1,1
0.04,0,0,0,2,2
0.04,0,0,0,2,2
-0.48,0,0,0,1,1
-0.48,0,0,0,1,1
0.021,0,0,0,2,2
0.021,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.328,0,0,0,2,2
0.328,0,0,0,2,2
-0.176,0,0,0,1,1
-0.176,0,0,0,1,1
0.331,0,0,0,2,2
0.331,0,0,0,2,2
-0.173,0,0,0,1,1
-0.173,0,0,0,1,1
0.334,0,0,0,2,2
0.334,0,0,0,2,2
-0.171,0,0,0,1,1
-0.171,0,0,0,1,1
0.337,0,0,0,2,2
0.337,0,0,0,2,2
-0.167,0,0,0,1,1
-0.167,0,0,0,1,1
0.34,0,0,0,2,2
0.34,0,0,0,2,2
-0.164,0,0,0,1,1
-0.164,0,0,0,1,1
0.344,0,0,0,2,2
0.344,0,0,0,2,2
0.126,0,0,0,2,2
-0.16,0,0,0,1,1
0.348,0,0,0,2,2
0.348,0,0,0,2,2
-0.157,0,0,0,1,1
-0.157,0,0,0,1,1
0.352,0,0,0,2,2
0.352,0,0,0,2,2
-0.152,0,0,0,1,1
-0.152,0,0,0,1,1
0.357,0,0,0,2,2
0.357,0,0,0,2,2
-0.148,0,0,0,1,1
-0.148,0,0,0,1,1
0.362,0,0,0,2,2
0.362,0,0,0,2,2
-0.142,0,0,0,1,1
-0.142,0,0,0,1,1
0.368,0,0,0,2,2
0.368,0,0,0,2,2
-0.137,0,0,0,1,1
-0.137,0,0,0,1,1
0.374,0,0,0,2,2
0.374,0,0,0,2,2
-0.131,0,0,0,1,1
-0.131,0,0,0,1,1
0.381,0,0,0,2,2
0.381,0,0,0,2,2
0.126,0,0,0,1,1
-0.124,0,0,0,1,1
0.389,0,0,0,2,2
0.389,0,0,0,2,2
-0.116,0,0,0,1,1
-0.116,0,0,0,1,1
0.398,0,0,0,2,2
0.398,0,0,0,2,2
-0.107,0,0,0,1,1
-0.107,0,0,0,1,1
0.407,0,0,0,2,2
0.407,0,0,0,2,2
-0.097,0,0,0,1,1
-0.097,0,0,0,1,1
0.126,0,0,0,2,2
0.418,0,0,0,2,2
-0.086,0,0,0,1,1
-0.086,0,0,0,1,1
0.43,0,0,0,2,2
0.43,0,0,0,2,2
-0.074,0,0,0,1,1
-0.074,0,0,0,1,1
0.444,0,0,0,2,2
0.444,0,0,0,2,2
-0.059,0,0,0,1,1
-0.059,0,0,0,1,1
0.46,0,0,0,2,2
0.46,0,0,0,2,2
-0.042,0,0,0,1,1
-0.042,0,0,0,1,1
0.479,0,0,0,2,2
0.479,0,0,0,2,2
-0.023,0,0,0,1,1
-0.023,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
-0.969,0,0,0,1,1
-0.969,0,0,0,1,1
-0.479,0,0,0,1,1
-0.479,0,0,0,1,1
0.021,1,0,0,2,2
0.021,1,0,0,2,2
-0.489,0,0,0,1,1
-0.489,0,0,0,1,1
0.011,0,0,0,2,2
0.011,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.126,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.25,0,0,0,2,2
0.25,0,0,0,2,2
0.585,0,0,0,2,2
0.585,0,0,0,2,2
0.126,0,0,0,0,0
0.093,0,0,1,0,0
0.102,0,0,1,0,0
0.102,0,0,1,0,0
0.114,0,0,1,0,0
0.114,0,0,1,0,0
0.129,0,0,1,0,0
0.129,0,0,1,0,0
0.148,0,0,1,0,0
0.148,0,0,1,0,0
0.172,0,0,1,0,0
0.172,0,0,1,0,0
0.205,0,0,1,0,0
0.205,0,0,1,0,0
0.25,0,0,1,0,0
0.25,0,0,1,0,0
0.313,0,0,0,2,2
0.313,0,0,0,2,2
-0.25,0,0,0,1,1
