0,1,2,3,4,5
0.226,0,0,0,2,2
0.226,0,0,0,2,2
-0.281,0,0,0,1,1
-0.281,0,0,0,1,1
0.225,0,0,0,2,2
0.225,0,0,0,2,2
-0.282,0,0,0,1,1
-0.282,0,0,0,1,1
0.224,0,0,0,2,2
0.224,0,0,0,2,2
-0.284,0,0,0,1,1
-0.284,0,0,0,1,1
0.224,0,0,0,2,2
0.222,0,0,0,2,2
-0.285,0,0,0,1,1
-0.285,0,0,0,1,1
0.221,0,0,0,2,2
0.221,0,0,0,2,2
-0.287,0,0,0,1,1
-0.287,0,0,0,1,1
0.22,0,0,0,2,2
0.22,0,0,0,2,2
-0.289,0,0,0,1,1
-0.289,0,0,0,1,1
0.218,0,0,0,2,2
0.218,0,0,0,2,2
-0.291,0,0,0,1,1
-0.291,0,0,0,1,1
0.217,0,0,0,2,2
0.217,0,0,0,2,2
-0.293,0,0,0,1,1
-0.293,0,0,0,1,1
0.215,0,0,0,2,2
0.215,0,0,0,2,2
-0.295,0,0,0,1,1
-0.295,0,0,0,1,1
0.213,0,0,0,2,2
0.213,0,0,0,2,2
0.224,0,0,0,1,1
-0.298,0,0,0,1,1
0.21,0,0,0,2,2
0.21,0,0,0,2,2
-0.301,0,0,0,1,1
-0.301,0,0,0,1,1
0.208,0,0,0,2,2
0.208,0,0,0,2,2
-0.304,0,0,0,1,1
-0.304,0,0,0,1,1
0.205,0,0,0,2,2
0.205,0,0,0,2,2
-0.308,0,0,0,1,1
-0.308,0,0,0,1,1
0.201,0,0,0,2,2
0.201,0,0,0,2,2
-0.313,0,0,0,1,1
-0.313,0,0,0,1,1
0.197,0,0,0,2,2
0.197,0,0,0,2,2
-0.318,0,0,0,1,1
-0.318,0,0,0,1,1
0.193,0,0,0,2,2
0.193,0,0,0,2,2
-0.324,0,0,0,1,1
-0.324,0,0,0,1,1
0.187,0,0,0,2,2
0.187,0,0,0,2,2
-0.332,0,0,0,1,1
-0.332,0,0,0,1,1
0.18,0,0,0,2,2
0.18,0,0,0,2,2
-0.341,0,0,0,1,1
-0.341,0,0,0,1,1
0.172,0,0,0,2,2
0.172,0,0,0,2,2
-0.352,0,0,0,1,1
-0.352,0,0,0,1,1
0.161,0,0,0,2,2
0.161,0,0,0,2,2
-0.367,0,0,0,1,1
-0.367,0,0,0,1,1
0.148,0,0,0,2,2
0.148,0,0,0,2,2
-0.386,0,0,0,1,1
-0.386,0,0,0,1,1
0.129,0,0,0,2,2
0.129,0,0,0,2,2
-0.411,0,0,0,1,1
-0.411,0,0,0,1,1
0.102,0,0,0,2,2
0.102,0,0,0,2,2
-0.447,0,0,0,1,1
-0.447,0,0,0,1,1
0.063,0,0,0,2,2
0.063,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
-0.774,0,0,0,1,1
-0.774,0,0,0,1,1
-0.288,0,0,0,1,1
-0.288,0,0,0,1,1
0.224,1,0,0,2,2
0.224,1,0,0,2,2
-0.291,0,0,0,1,1
-0.291,0,0,0,1,1
0.221,0,0,0,2,2
0.221,0,0,0,2,2
0.224,0,0,0,1,1
-0.295,0,0,0,1,1
0.218,0,0,0,2,2
0.218,0,0,0,2,2
-0.3,0,0,0,1,1
-0.3,0,0,0,1,1
0.215,0,0,0,2,2
0.215,0,0,0,2,2
-0.306,0,0,0,1,1
-0.306,0,0,0,1,1
0.21,0,0,0,2,2
0.21,0,0,0,2,2
-0.313,0,0,0,1,1
-0.313,0,0,0,1,1
0.205,0,0,0,2,2
