0,1,2,3,4,5
0.215,0,0,0,2,2
0.215,0,0,0,2,2
-0.289,0,0,0,1,1
-0.289,0,0,0,1,1
0.214,0,0,0,2,2
0.214,0,0,0,2,2
-0.29,0,0,0,1,1
-0.29,0,0,0,1,1
0.213,0,0,0,2,2
0.213,0,0,0,2,2
-0.291,0,0,0,1,1
-0.291,0,0,0,1,1
0.212,0,0,0,2,2
0.212,0,0,0,2,2
-0.292,0,0,0,1,1
-0.292,0,0,0,1,1
0.211,0,0,0,2,2
0.211,0,0,0,2,2
-0.293,0,0,0,1,1
-0.293,0,0,0,1,1
0.21,0,0,0,2,2
0.21,0,0,0,2,2
-0.294,0,0,0,1,1
-0.294,0,0,0,1,1
0.209,0,0,0,2,2
0.209,0,0,0,2,2
-0.295,0,0,0,1,1
-0.295,0,0,0,1,1
0.208,0,0,0,2,2
0.208,0,0,0,2,2
-0.296,0,0,0,1,1
-0.296,0,0,0,1,1
0.207,0,0,0,2,2
0.207,0,0,0,2,2
-0.298,0,0,0,1,1
-0.298,0,0,0,1,1
0.206,0,0,0,2,2
0.206,0,0,0,2,2
-0.299,0,0,0,1,1
-0.299,0,0,0,1,1
0.205,0,0,0,2,2
0.205,0,0,0,2,2
-0.3,0,0,0,1,1
-0.3,0,0,0,1,1
0.204,0,0,0,2,2
0.204,0,0,0,2,2
-0.302,0,0,0,1,1
-0.302,0,0,0,1,1
0.202,0,0,0,2,2
0.202,0,0,0,2,2
-0.303,0,0,0,1,1
-0.303,0,0,0,1,1
0.201,0,0,0,2,2
0.201,0,0,0,2,2
-0.305,0,0,0,1,1
-0.305,0,0,0,1,1
0.199,0,0,0,2,2
0.199,0,0,0,2,2
-0.307,0,0,0,1,1
-0.307,0,0,0,1,1
0.197,0,0,0,2,2
0.197,0,0,0,2,2
-0.309,0,0,0,1,1
-0.309,0,0,0,1,1
0.196,0,0,0,2,2
0.196,0,0,0,2,2
-0.311,0,0,0,1,1
-0.311,0,0,0,1,1
0.194,0,0,0,2,2
0.194,0,0,0,2,2
-0.313,0,0,0,1,1
-0.313,0,0,0,1,1
0.192,0,0,0,2,2
0.192,0,0,0,2,2
0.213,0,0,0,1,1
-0.315,0,0,0,1,1
0.19,0,0,0,2,2
0.19,0,0,0,2,2
-0.318,0,0,0,1,1
-0.318,0,0,0,1,1
0.187,0,0,0,2,2
0.187,0,0,0,2,2
-0.32,0,0,0,1,1
-0.32,0,0,0,1,1
0.185,0,0,0,2,2
0.185,0,0,0,2,2
0.213,0,0,0,1,1
-0.323,0,0,0,1,1
0.182,0,0,0,2,2
0.182,0,0,0,2,2
-0.326,0,0,0,1,1
-0.326,0,0,0,1,1
0.179,0,0,0,2,2
0.179,0,0,0,2,2
0.213,0,0,0,1,1
-0.33,0,0,0,1,1
0.176,0,0,0,2,2
0.176,0,0,0,2,2
-0.333,0,0,0,1,1
-0.333,0,0,0,1,1
0.172,0,0,0,2,2
0.172,0,0,0,2,2
-0.338,0,0,0,1,1
-0.338,0,0,0,1,1
0.168,0,0,0,2,2
0.168,0,0,0,2,2
-0.342,0,0,0,1,1
-0.342,0,0,0,1,1
0.164,0,0,0,2,2
0.164,0,0,0,2,2
-0.347,0,0,0,1,1
-0.347,0,0,0,1,1
0.159,0,0,0,2,2
0.159,0,0,0,2,2
-0.352,0,0,0,1,1
-0.352,0,0,0,1,1
0.213,0,0,0,2,2
0.154,0,0,0,2,2
-0.359,0,0,0,1,1
-0.359,0,0,0,1,1
0.148,0,0,0,2,2
0.148,0,0,0,2,2
-0.365,0,0,0,1,1
-0.365,0,0,0,1,1
0.141,0,0,0,2,2
0.141,0,0,0,2,2
-0.373,0,0,0,1,1
-0.373,0,0,0,1,1
0.133,0,0,0,2,2
0.133,0,0,0,2,2
-0.382,0,0,0,1,1
-0.382,0,0,0,1,1
0.124,0,0,0,2,2
0.124,0,0,0,2,2
-0.392,0,0,0,1,1
-0.392,0,0,0,1,1
0.114,0,0,0,2,2
0.114,0,0,0,2,2
-0.404,0,0,0,1,1
-0.404,0,0,0,1,1
0.102,0,0,0,2,2
0.102,0,0,0,2,2
-0.417,0,0,0,1,1
-0.417,0,0,0,1,1
0.089,0,0,0,2,2
0.089,0,0,0,2,2
-0.433,0,0,0,1,1
-0.433,0,0,0,1,1
0.072,0,0,0,2,2
0.072,0,0,0,2,2
-0.451,0,0,0,1,1
-0.451,0,0,0,1,1
0.053,0,0,0,2,2
0.053,0,0,0,2,2
-0.474,0,0,0,1,1
-0.474,0,0,0,1,1
0.029,0,0,0,2,2
0.029,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,2,2
0.861,0,0,0,2,2
0.379,0,0,0,2,2
0.379,0,0,0,2,2
-0.129,0,0,1,1,1
-0.129,0,0,1,1,1
0.391,0,0,0,2,2
0.391,0,0,0,2,2
-0.117,0,0,0,1,1
-0.117,0,0,0,1,1
0.405,0,0,0,2,2
0.405,0,0,0,2,2
-0.102,0,0,0,1,1
-0.102,0,0,0,1,1
0.422,0,0,0,2,2
0.422,0,0,0,2,2
-0.085,0,0,0,1,1
-0.085,0,0,0,1,1
0.443,0,0,0,2,2
0.443,0,0,0,2,2
-0.063,0,0,0,1,1
-0.063,0,0,0,1,1
0.468,0,0,0,2,2
0.468,0,0,0,2,2
-0.035,0,0,0,1,1
-0.035,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,1,1
-0.014,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,2,2
0.389,0,0,0,2,2
-0.116,0,0,0,1,1
-0.116,0,0,0,1,1
0.398,0,0,0,2,2
0.398,0,0,0,2,2
-0.107,0,0,0,1,1
-0.107,0,0,0,1,1
0.407,0,0,0,2,2
0.407,0,0,0,2,2
-0.097,0,0,0,1,1
-0.097,0,0,0,1,1
0.418,0,0,0,2,2
0.418,0,0,0,2,2
-0.086,0,0,0,1,1
-0.086,0,0,0,1,1
0.43,0,0,0,2,2
0.43,0,0,0,2,2
-0.074,0,0,0,1,1
-0.074,0,0,0,1,1
0.444,0,0,0,2,2
0.444,0,0,0,2,2
-0.059,0,0,0,1,1
-0.059,0,0,0,1,1
0.46,0,0,0,2,2
0.46,0,0,0,2,2
-0.042,0,0,0,1,1
-0.042,0,0,0,1,1
0.479,0,0,0,2,2
0.479,0,0,0,2,2
-0.023,0,0,0,1,1
-0.023,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.593,0,0,0,2,2
0.593,0,0,0,2,2
0.097,0,0,0,2,2
0.097,0,0,0,2,2
-0.418,0,0,1,1,1
-0.418,0,0,1,1,1
0.086,0,0,0,2,2
0.086,0,0,0,2,2
0.213,0,0,0,1,1
-0.43,0,0,0,1,1
0.213,0,0,0,2,2
0.074,0,0,0,2,2
-0.444,0,0,0,1,1
-0.444,0,0,0,1,1
0.059,0,0,0,2,2
0.059,0,0,0,2,2
-0.46,0,0,0,1,1
-0.46,0,0,0,1,1
0.042,0,0,0,2,2
0.042,0,0,0,2,2
-0.479,0,0,0,1,1
-0.479,0,0,0,1,1
0.023,0,0,0,2,2
0.023,0,0,0,2,2
0.213,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.852,0,0,0,2,2
0.852,0,0,0,2,2
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.687,0,0,1,0,0
0.687,0,0,1,0,0
0.701,0,0,1,0,0
0.701,0,0,1,0,0
0.715,0,0,1,0,0
0.715,0,0,1,0,0
0.727,0,0,1,0,0
0.727,0,0,1,0,0
0.739,0,0,1,0,0
0.739,0,0,1,0,0
0.75,0,0,1,0,0
0.75,0,0,1,0,0
0.76,0,0,1,0,0
0.76,0,0,1,0,0
0.77,0,0,1,0,0
0.77,0,0,1,0,0
0.779,0,0,1,0,0
0.779,0,0,1,0,0
0.213,0,0,0,0,0
0.787,0,0,1,0,0
0.795,0,0,0,2,2
0.795,0,0,0,2,2
0.213,0,0,0,2,2
0.306,0,0,0,2,2
0.213,0,0,0,1,1
-0.202,0,0,1,1,1
0.213,0,0,0,2,2
0.309,0,0,0,2,2
-0.199,0,0,0,1,1
-0.199,0,0,0,1,1
0.313,0,0,0,2,2
0.313,0,0,0,2,2
-0.196,0,0,0,1,1
-0.196,0,0,0,1,1
0.317,0,0,0,2,2
0.317,0,0,0,2,2
-0.192,0,0,0,1,1
-0.192,0,0,0,1,1
0.213,0,0,0,2,2
0.322,0,0,0,2,2
-0.187,0,0,0,1,1
-0.187,0,0,0,1,1
0.328,0,0,0,2,2
0.328,0,0,0,2,2
-0.182,0,0,0,1,1
-0.182,0,0,0,1,1
0.335,0,0,0,2,2
0.335,0,0,0,2,2
-0.176,0,0,0,1,1
-0.176,0,0,0,1,1
0.343,0,0,0,2,2
0.343,0,0,0,2,2
-0.168,0,0,0,1,1
-0.168,0,0,0,1,1
0.352,0,0,0,2,2
0.352,0,0,0,2,2
-0.159,0,0,0,1,1
-0.159,0,0,0,1,1
0.364,0,0,0,2,2
0.364,0,0,0,2,2
-0.148,0,0,0,1,1
-0.148,0,0,0,1,1
0.379,0,0,0,2,2
0.379,0,0,0,2,2
0.213,0,0,0,1,1
-0.133,0,0,0,1,1
0.398,0,0,0,2,2
0.398,0,0,0,2,2
-0.114,0,0,0,1,1
-0.114,0,0,0,1,1
0.422,0,0,0,2,2
0.422,0,0,0,2,2
-0.089,0,0,0,1,1
-0.089,0,0,0,1,1
0.455,0,0,0,2,2
0.455,0,0,0,2,2
-0.053,0,0,0,1,1
-0.053,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.937,0,0,0,2,2
0.937,0,0,0,2,2
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,1,0,0
0.0,0,0,1,0,0
0.213,0,0,0,0,0
0.0,0,0,1,0,0
0.0,0,0,1,0,0
0.0,0,0,1,0,0
0.585,0,1,1,1,0
0.585,0,1,1,1,0
-0.922,0,0,0,1,1
-0.922,0,0,0,1,1
-0.447,1,0,0,0,0
-0.447,1,0,0,0,0
-0.474,1,0,0,0,0
-0.474,1,0,0,0,0
-0.5,1,0,0,0,0
-0.5,1,0,0,0,0
-0.526,1,0,0,0,0
-0.526,1,0,0,0,0
-0.553,0,0,0,1,1
-0.553,0,0,0,1,1
-0.057,1,0,0,0,0
-0.057,1,0,0,0,0
-0.063,1,0,0,0,0
-0.063,1,0,0,0,0
-0.07,0,0,0,1,1
-0.07,0,0,0,1,1
0.465,1,0,0,2,2
0.465,1,0,0,2,2
-0.04,0,0,0,1,1
-0.04,0,0,0,1,1
0.5,0,0,0,2,2
0.5,0,0,0,2,2
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
-0.474,0,0,0,1,1
-0.474,0,0,0,1,1
0.028,0,0,0,2,2
0.028,0,0,0,2,2
0.213,0,0,0,1,1
-0.486,0,0,0,1,1
0.014,0,0,0,2,2
0.014,0,0,0,2,2
-0.5,0,0,0,1,1
-0.5,0,0,0,1,1
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.213,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
0.0,0,0,0,0,0
