0,1,2,3,4,5
0.217,0,0,0,2,2
0.217,0,0,0,2,2
-0.287,0,0,0,1,1
-0.287,0,0,0,1,1
0.216,0,0,0,2,2
0.216,0,0,0,2,2
-0.288,0,0,0,1,1
-0.288,0,0,0,1,1
0.216,0,0,0,2,2
0.216,0,0,0,2,2
-0.289,0,0,0,1,1
-0.289,0,0,0,1,1
0.216,0,0,0,2,2
0.215,0,0,0,2,2
-0.29,0,0,0,1,1
-0.29,0,0,0,1,1
0.214,0,0,0,2,2
0.214,0,0,0,2,2
0.216,0,0,0,1,1
-0.291,0,0,0,1,1
0.216,0,0,0,2,2
0.213,0,0,0,2,2
-0.292,0,0,0,1,1
-0.292,0,0,0,1,1
0.212,0,0,0,2,2
0.212,0,0,0,2,2
-0.293,0,0,0,1,1
-0.293,0,0,0,1,1
0.211,0,0,0,2,2
0.211,0,0,0,2,2
-0.294,0,0,0,1,1
-0.294,0,0,0,1,1
0.21,0,0,0,2,2
0.21,0,0,0,2,2
-0.295,0,0,0,1,1
-0.295,0,0,0,1,1
0.209,0,0,0,2,2
0.209,0,0,0,2,2
-0.296,0,0,0,1,1
-0.296,0,0,0,1,1
0.207,0,0,0,2,2
0.207,0,0,0,2,2
-0.298,0,0,0,1,1
-0.298,0,0,0,1,1
0.206,0,0,0,2,2
0.206,0,0,0,2,2
-0.299,0,0,0,1,1
-0.299,0,0,0,1,1
0.205,0,0,0,2,2
0.205,0,0,0,2,2
-0.301,0,0,0,1,1
-0.301,0,0,0,1,1
0.203,0,0,0,2,2
0.203,0,0,0,2,2
-0.303,0,0,0,1,1
-0.303,0,0,0,1,1
0.202,0,0,0,2,2
0.202,0,0,0,2,2
-0.304,0,0,0,1,1
-0.304,0,0,0,1,1
0.216,0,0,0,2,2
0.2,0,0,0,2,2
-0.306,0,0,0,1,1
-0.306,0,0,0,1,1
0.198,0,0,0,2,2
0.198,0,0,0,2,2
-0.308,0,0,0,1,1
-0.308,0,0,0,1,1
0.196,0,0,0,2,2
0.196,0,0,0,2,2
-0.31,0,0,0,1,1
-0.31,0,0,0,1,1
0.194,0,0,0,2,2
0.194,0,0,0,2,2
-0.313,0,0,0,1,1
-0.313,0,0,0,1,1
0.192,0,0,0,2,2
0.192,0,0,0,2,2
-0.315,0,0,0,1,1
-0.315,0,0,0,1,1
0.19,0,0,0,2,2
0.19,0,0,0,2,2
-0.318,0,0,0,1,1
